2022-07-20,05:12,21:18,7.2,3719.2,25.0,Mostly cloudy w/ showers,71,25.7,4,67,67,13.0,NNW
2022-07-21,05:13,21:17,4.5,3702.6,24.4,Mostly cloudy,71,25.2,6,5,5,13.0,NE
2022-07-22,05:14,21:15,5.0,3613.3,23.0,Mostly cloudy w/ showers,73,22.9,4,80,80,11.1,ENE
2022-07-23,05:16,21:14,9.6,5043.6,26.5,Intermittent clouds,48,27.3,7,8,8,16.7,SW
2022-07-24,05:17,21:13,13.2,7085.4,26.7,Sunny,0,26.9,7,1,1,18.5,SSW
2022-07-25,05:19,21:11,3.5,3066.3,22.9,Mostly cloudy,81,21.2,3,49,49,22.2,WSW
2022-07-26,05:20,21:10,4.8,3113.3,20.4,Mostly cloudy,76,19.9,2,9,9,18.5,NNW
2022-07-27,05:22,21:08,5.5,3646.3,22.2,Intermittent clouds,68,23.3,3,10,10,9.3,WSW
2022-07-28,05:23,21:07,5.5,3205.0,22.4,Mostly cloudy,77,21.7,5,9,9,14.8,ESE
2022-07-29,05:25,21:05,6.7,4073.8,24.3,Intermittent clouds,60,26.5,7,25,25,9.3,NNE
2022-07-30,05:26,21:04,7.7,4717.8,24.0,Partly sunny,45,23.0,4,25,25,13.0,WSW
2022-07-31,05:28,21:02,4.2,3499.9,23.6,Partly sunny w/ showers,70,22.8,3,70,70,20.4,WNW
2022-08-01,05:29,21:00,1.8,2393.5,23.0,Showers,91,20.4,1,71,71,14.8,WSW
